AUTHOR,HOMONYMOUS,OPENALEX_AUTHOR_NAME,AUTHOR_ID,WORKS_API_URL
Frederick P. Rivara,0,Frederick P. Rivara,https://openalex.org/A5089417272,https://api.openalex.org/works?filter=author.id:A5089417272
Eric Fesselmeyer,0,Eric Fesselmeyer,https://openalex.org/A5024178749,https://api.openalex.org/works?filter=author.id:A5024178749
Robert M. Fernquist,0,Robert M. Fernquist,https://openalex.org/A5006383672,https://api.openalex.org/works?filter=author.id:A5006383672
Tushar S. Dabade,0,Tushar S. Dabade,https://openalex.org/A5079086197,https://api.openalex.org/works?filter=author.id:A5079086197
Mercedes R. Carnethon,0,Mercedes R. Carnethon,https://openalex.org/A5058511529,https://api.openalex.org/works?filter=author.id:A5058511529
Jacinta Bronte-Tinkew,0,Jacinta Bronte-Tinkew,https://openalex.org/A5052429670,https://api.openalex.org/works?filter=author.id:A5052429670
Beverly H. Brummett,0,Beverly H. Brummett,https://openalex.org/A5046272563,https://api.openalex.org/works?filter=author.id:A5046272563
Ann Hallyburton,0,Ann Hallyburton,https://openalex.org/A5073839508,https://api.openalex.org/works?filter=author.id:A5073839508
Lisa H. Jaycox,0,Lisa H. Jaycox,https://openalex.org/A5010872413,https://api.openalex.org/works?filter=author.id:A5010872413
Lawrence E. Raffalovich,0,Lawrence E. Raffalovich,https://openalex.org/A5056514040,https://api.openalex.org/works?filter=author.id:A5056514040
Ralph A. Weisheit,0,Ralph A. Weisheit,https://openalex.org/A5091510775,https://api.openalex.org/works?filter=author.id:A5091510775
Ashutosh Niraj,0,Ashutosh Niraj,https://openalex.org/A5088498285,https://api.openalex.org/works?filter=author.id:A5088498285
Volker Kirchberg,0,Volker Kirchberg,https://openalex.org/A5027796380,https://api.openalex.org/works?filter=author.id:A5027796380
Brenda S. Cavenaugh,0,Brenda S. Cavenaugh,https://openalex.org/A5083703301,https://api.openalex.org/works?filter=author.id:A5083703301
Christina Wolbrecht,0,Christina Wolbrecht,https://openalex.org/A5055857817,https://api.openalex.org/works?filter=author.id:A5055857817
